HITID,Text,Answer1,Answer2,Agreement,Answer,Date,JasonCode
34OWYT6U3WHIR044ATWT25E67EXI92,The alliance is the cornerstone of our long-standing relationship 5 of 7 Mutual Defense Treaty Allies are in httpstcoIxuNYeGn6Y,Procedural Repuation,Technical Reputation,No,no_agreement,2018-07-06 18:05:42 UTC,4
33NKDW9FFXIHFT02LZ6L752T1C4CXD,RT WSJopinion Heres an important education speech that deserves wider notice httpstco0r76h0Hc1J,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:11:15 UTC,1
31D0ZWOD0AZLPOXTY9LNSWPUR2Y0A4,Did you know? DLAMIL sent more than 200 000 pounds of Thanksgiving food to field kitchens throughout the Middle E httpstco24i8c0zsHk,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 17:59:21 UTC,2
3OKP4QVBP2XI0S8ECBAQDOCAYJNAGH,RT SullyAtHUD Part of HUDgovs 50-yr mission is overcoming historic segregation drshow examines fairhousing - then and now http,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:00:56 UTC,2
3J9UN9O9J3SWQH0XSFY0LVSDHPS0JK,RT JohnKingatED Couldnt agree more httpstcoYV3lC4zF0d,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:00:01 UTC,0
3DIIW4IV8PVHUUYSTY02LX3QLMJI46,Only 1 Electronic Appraisal Delivery portal onboarding phase remains Register now and join hundreds of lenders  httpstco6gdbueDog9,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 17:59:31 UTC,1
3AJA9FLWSCYRSAVHDFWLC10HACSFIR,REPORT How advanced small modular reactors can help boost resiliency of Americas electric grid httpstcobODPCpeKbZ,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:18:24 UTC,1
363A7XIFV4M1IPY9169CDPFKLYBAV6,Participants in the Treasury market should be subject to comprehensive oversight and trade reporting requirements Counselor Antonio Weiss,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:00:13 UTC,3
32PT7WK7DMFF4NZ216U8KVV7FHFD3E,FACT SHEET Advanced Transportation and Congestion Management Technologies Deployment Program httpstcodVnQfM82vj WHFrontiers,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 17:59:20 UTC,4
3BO3NEOQM0HWWJE92ZATY0PQDWFIAH,RT USEmbassyWarsaw During a meeting Secretary Tillerson and Polish PM MorawieckiM discussed the future of Polish-US relations and regi,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:15:04 UTC,4
3PCPFX4U40Q498J0QN1UL3R31M9FQU,RT PressSec USTreasury stevenmnuchin1 target supporters of Irans Military and IRGC httpstcoZCwl3sHmNn,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:02:35 UTC,4
3RZS0FBRWKAC6KYBZ8W4DSGQZDVCPP,Justice Department  StateDept Launch IntellectualProperty Law Enforcement Coordinator Network 5 specialized pr httpstcocGJCXV3Ltq,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 17:59:14 UTC,1
3TD33TP5DL2M9B03WPICCDLDI6VAB0,Boynton Beach Officers Convicted of Using Excessive Force Against Arrestee and Obstruction of Justice httpstcod96nBO9gBm,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:00:39 UTC,2
3RSBJ6YZECQ1OW6KBA9QWYW3MLRFOM,Fighting the flames! USAirForce firefighters douse a blaze engulfing a prop aircraft during nighttime firefighting httpstcoDUdzemhjKg,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 17:59:39 UTC,4
3QQUBC64ZEE06XXTAPFZNGW50GHXNF,RT USDOTFRA WowWednesday Today marks the 155th anniversary of TheGreatLocomotiveChase  a historic day in railroading history! https,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 17:59:28 UTC,0
3XEDXEGFX3OR116FA0YCMASQWES0KJ,RT usedgov Happy 50th birthday  USDOT! Thanks for keeping America moving! DOTat50 httpstcoPMZzZb8q3q,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:03:17 UTC,0
382GHPVPHSR24RG98VTFHR1124M34R,RT NWSTampaBay Eye of Irma moving over Lee County now Highest wind gusts measured so far at Southwest Florida International Airport of 8,Performative Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:01:08 UTC,4
32FESTC2NHQPYP67GUVYNY3P7UNCUL,RT USCISMediaPA Families of newUScitizens celebrate with patriotic pride BattleshipNJ July4th httpstcoBuU0qt6Lax,Moral Reputation,None of the above.,No,no_agreement,2018-07-06 18:00:22 UTC,2
3JAOYN9IHL2HMVX58HOW7M9VO4Q336,Check out USArmy Veteran  USParalympics athlete Stephen Emt who is competing in the 2018 Paralympics mens wheelc httpstco7z8jwGjn5K,Moral Reputation,Performative Reputation,No,no_agreement,2018-07-06 18:18:53 UTC,2
39TX062QX1OT2T4JS6VKE2YZVZQX3Z,No student should ever feel unwelcome at school httpstcoVhk6GhUBtT,Moral Reputation,Moral Reputation,Yes,Moral Reputation,2018-07-06 17:59:23 UTC,2
3EQVJH0T40L1FK2Y2HJPTTE318LHT8,RT JREMSchool JohnKingatED  Ms Malins class at JREMSchool says Thanks for reading to us! httpstcoOkUELEBtXY,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:03:17 UTC,2
3X4Q1O9UBHMO93RETRBE86JMOX87OA,Were 1! America produces more nuclear energy than any other country on Earth  generating more than 805 billion ki httpstcorlee1FjVyE,Performative Reputation,Technical Reputation,No,no_agreement,2018-07-06 18:04:27 UTC,0
3EFNPKWBMSOL53Y8PU6D5OBOLS6038,What does it take to be an EDGreenRibbon school? A few of our 2017 honorees can show you the way! httpstcoy6bJWtc5xd,Procedural Repuation,Technical Reputation,No,no_agreement,2018-07-06 18:00:17 UTC,2
3S829FDFT21RKL6GLV1WRBKBMCFXDX,RT SecPriceMD DeptofDefense DeptVetAffairs Doctors  nurses w the National Disaster Medical System (NDMS) set up a base of operations w,Moral Reputation,Procedural Repuation,No,no_agreement,2018-07-06 18:06:40 UTC,4
3D06DR5225JIS240NE8LQTW7U5ZAMP,RT USNavy LIVE Periscope Commissioning of USSColorado SSN788 httpstcoleBv6MLuEg,None of the above.,None of the above.,Yes,None of the above.,2018-07-06 18:03:28 UTC,1
391FPZIE4CMGFXHN2M9ZYP05KMSHUZ,John F Kelly Sworn In As Fifth Secretary Of Homeland Security httpstcoIKJI5yxn8l,None of the above.,Performative Reputation,No,no_agreement,2018-07-06 18:01:00 UTC,0
3P7RGTLO6EDN2E4X22V5BG43504AKK,Sec Lew urges UK  EU to demonstrate flexibility in order to produce an amicable and mutually-acceptable outcome,None of the above.,Technical Reputation,No,no_agreement,2018-07-06 18:01:57 UTC,0
3GL25Y6843UUOFCTYO0ZA175VQ7XMF,RT USNavy CNORichardson statement on C2-A aircraft crash - httpstcoMbKydsnYey httpstcorMtBi4kPBw,Procedural Repuation,Procedural Repuation,Yes,Procedural Repuation,2018-07-06 18:00:16 UTC,3
